id,value
Science,
Science.Anatomy,
Science.Anatomy.Body fluids,
Science.Anatomy.Cardiovascular system,
Science.Anatomy.Digestive system,
Science.Anatomy.Gastrointestinal system,
Science.Anatomy.Nervous system,
Science.Anatomy.Organs,
Science.Anatomy.Respiratory system,
Science.Anatomy.Urinary system,
Science.Astronomy,
Science.Astronomy.Cosmology,
Science.Astrophysics,
Science.Astrophysics.Solar events,
Science.Biology,
Science.Biology.Molecular biology,
Science.Biology.Systematic biology,
Science.Biology.Biochemistry,
Science.Biology.Biodiversity,
Science.Biology.Biomedical engineering,
Science.Biology.Botany,
Science.Biology.Evolution,
Science.Biology.Genetics,
Science.Biology.Microbiology,
Science.Biology.Zoology,
Science.Chemistry,
Science.Chemistry.Organic chemistry,
Science.Ecology. ,
Science.Geology,
Science.Geology.Fossils,
Science.Geology.Geophysics,
Science.Geology.Rocks,
Science.Laboratories,
Science.Laboratories.Government laboratories,
Science.Medicine. ,
Science.Meteorology,
Science.Meteorology.Atmosphere,
Science.Meteorology.Climate,
Science.Meteorology.Weather,
