uri,attribute,broader > pref label,broader > pref label,exact match > pref label,exact match > pref label,narrower > pref label,narrower > pref label,pref label
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Obstetrics,Obstetrics,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Ophthalmology,Ophthalmology,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Paediatrics,Paediatrics,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Pathology,Pathology,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Pharmacy,Pharmacy,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Physiology,Physiology,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Psychiatry,Psychiatry,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Radiography,Radiography,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Rheumatology,Rheumatology,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Surgery,Surgery,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Urology,Urology,Medicine
http://data.parliament.uk/terms/91974,SIT,Health services and medicine,Health services and medicine,,,Veterinary medicine,Veterinary medicine,Medicine
http://data.parliament.uk/terms/92000,SIT,Science,Science,,,Atmosphere,Atmosphere,Meteorology
http://data.parliament.uk/terms/92000,SIT,Science,Science,,,Climate,Climate,Meteorology
http://data.parliament.uk/terms/92000,SIT,Science,Science,,,Weather,Weather,Meteorology
